id,cod,destino,orden,color,negocio,recorrido,horarios,paradas,shapes,itinerario,codigo
1275,102,San Carlos Oriente,45,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'San Carlos Oriente'},[{}],[],[],False,U9
1297,124,Puente Alto,2,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'Puente Alto'},[{}],[],[],False,U9
1232,104,Mall Plaza Tobalaba,35,#cf152d,"{'nombre': 'STU US3', 'color': '#cf152d'}",{'destino': 'Mall Plaza Tobalaba'},[{}],[],[],True,U10
1019,114,Mall Plaza Tobalaba,25,#cf152d,"{'nombre': 'STU US3', 'color': '#cf152d'}",{'destino': 'Mall Plaza Tobalaba'},[{}],[],[],False,U10
1278,712,Puente Alto,35,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'Puente Alto'},[{}],[],[],False,U9
1275,102,San Carlos Oriente,46,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'San Carlos Oriente'},[{}],[],[],False,U9
826,108,La Florida,84,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
1297,124,Puente Alto,3,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'Puente Alto'},[{}],[],[],False,U9
1278,712,Puente Alto,36,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'Puente Alto'},[{}],[],[],False,U9
1232,104,Mall Plaza Tobalaba,36,#cf152d,"{'nombre': 'STU US3', 'color': '#cf152d'}",{'destino': 'Mall Plaza Tobalaba'},[{}],[],[],True,U10
1275,102,San Carlos Oriente,47,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'San Carlos Oriente'},[{}],[],[],False,U9
826,108,La Florida,85,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
1019,114,Mall Plaza Tobalaba,26,#cf152d,"{'nombre': 'STU US3', 'color': '#cf152d'}",{'destino': 'Mall Plaza Tobalaba'},[{}],[],[],False,U10
826,108,La Florida,86,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
1232,104,Mall Plaza Tobalaba,37,#cf152d,"{'nombre': 'STU US3', 'color': '#cf152d'}",{'destino': 'Mall Plaza Tobalaba'},[{}],[],[],True,U10
1019,114,Mall Plaza Tobalaba,27,#cf152d,"{'nombre': 'STU US3', 'color': '#cf152d'}",{'destino': 'Mall Plaza Tobalaba'},[{}],[],[],False,U10
1275,102,San Carlos Oriente,48,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'San Carlos Oriente'},[{}],[],[],False,U9
1278,712,Puente Alto,37,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'Puente Alto'},[{}],[],[],False,U9
1297,124,Puente Alto,4,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'Puente Alto'},[{}],[],[],False,U9
1019,114,Mall Plaza Tobalaba,28,#cf152d,"{'nombre': 'STU US3', 'color': '#cf152d'}",{'destino': 'Mall Plaza Tobalaba'},[{}],[],[],False,U10
